,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.76741105,0.53630376,0.63483346,0.77245635,-0.16164318,1.3141018,-0.028642207,-0.4437092,-0.99821526,0.1888019,0.35669804,-1.4425538,-1.6782979,1.4583762,-0.13185506,-0.28906527,0.72484064,1.2373561,0.5237078,0.34431365,0.19844244,-0.056111798,-0.7118527,0.84208053,0.36623725,-0.19773775,-1.077392,0.6182129,0.63255537,0.6794483,-1.1056517,-0.9503112
1,1.1850988,-1.5917537,1.5716978,-1.4915572,0.0016527692,3.3878758,1.3798609,-0.4515378,0.6629261,-0.017092122,1.3858905,0.73567,2.1879804,-0.98451036,0.8370802,-0.09574032,-0.50324404,-0.5875773,-0.29826304,-0.5126798,-0.11661662,-0.16822389,-1.861206,-0.9723137,1.1960729,-0.98265153,-0.1821142,0.8089158,0.8445586,1.5378875,-0.30731186,-0.6135118
2,-0.5826508,-0.2025649,-0.32354727,0.98687035,1.3736237,0.19320807,-0.814063,1.0146449,1.2069783,0.7383647,1.7367052,-0.6736922,-0.19600582,-1.3779484,1.2229451,0.09448107,-0.3511995,0.6350515,-0.5527473,-0.8757652,-0.7786895,0.17110679,-0.9908217,0.15042582,0.67892593,-0.4921619,-0.48717275,0.19754817,-0.3014894,0.9772477,1.8631691,1.4017049
3,0.44529802,-0.12917848,-1.0274419,0.07492745,1.5407506,-0.05010422,0.41756755,-0.8288885,0.007132765,0.26166192,-1.5772351,-1.862543,-1.050809,0.47381818,-0.23344633,1.7590253,-0.7600634,0.08704987,-0.12769869,1.1956968,-0.68990046,-0.024796136,-0.73180085,0.5473941,-0.51093864,0.83315504,0.4956937,0.97839385,-2.7814887,0.037984084,-0.70854294,0.91004074
4,-1.1104903,0.62401706,1.2750745,0.51634866,-1.3654088,-0.37747705,-0.1316018,-1.7693496,0.11577744,0.35513195,0.76337177,-0.06089325,0.39500988,-0.53822815,-1.1358141,2.3933167,0.09775826,1.0618098,0.7029426,1.1675208,0.3092492,0.57119256,-1.149338,0.09772452,-0.423535,2.8950765,-1.2812093,0.31912184,0.8789226,0.81243175,-0.79802865,0.20823526
5,-0.3005187,-0.10591775,0.54176253,-2.0560417,-0.16258445,-0.48896116,0.5799191,-0.45742485,-0.37888095,0.89327013,0.15768114,-0.4504833,-0.33353397,-1.4246464,-0.41804916,1.1439543,0.70012265,0.29993933,-1.2049985,1.8508586,-1.492175,-1.1811595,-1.3602808,-0.4202502,-3.4811704,0.695614,1.6925945,-1.0656338,-0.88856167,-0.8891087,-1.3262538,0.8928821
6,-2.7541103,-0.5301755,1.0219862,0.510519,0.6723226,-0.104688846,-0.8997993,-0.36362967,0.34791434,0.82672274,0.12662396,1.6500223,0.41506782,1.2433591,-1.6740708,-1.4132738,-0.7101779,-0.5415526,-0.70491785,-0.7668281,-0.8471449,-0.1601468,1.0967138,1.6359007,0.50882673,-1.0016526,-1.4935197,-0.60947037,0.6909521,-0.002815085,1.7849995,1.4537392
7,0.18059194,-1.4562663,-1.727336,1.3306212,-0.6729477,-1.3126954,0.5824081,0.08615488,-1.1018963,-0.8637671,0.41924667,-0.0046440414,-1.0129533,1.4495971,-0.585242,2.8172393,1.8965731,0.07345735,-2.301125,-0.13931817,-0.46786186,0.9878592,-0.1829301,0.07001213,-0.0060109505,1.4776255,0.39221102,0.5016382,-2.2290795,-0.5458676,-0.4690325,0.23454748
8,-0.08803927,0.26594877,-0.6730402,0.63452286,-1.715928,-0.8472749,0.519799,-1.2601943,0.96601653,0.71810836,-0.9637348,-0.87842506,-2.238444,0.06940729,-1.5075811,1.2107066,2.3189406,1.9696488,0.18393227,1.9757422,0.0007792427,0.3308777,-0.21536525,1.123045,0.085194334,2.301354,1.0409484,0.9888675,-1.9727588,1.571316,0.24760358,-0.041963093
9,-1.2815894,-0.52005047,-0.64941853,-0.91747355,-0.9125767,-0.095810965,1.1057509,-0.21536905,-1.7353842,0.22118841,1.2011216,0.7547699,-0.83874035,0.17249854,-0.5723367,0.8573853,1.4833542,0.49693054,-1.9051625,1.9520837,1.1197873,1.060067,-0.53989846,0.33723894,-1.345332,2.1543672,2.6494849,1.2933754,-1.156727,0.6941533,0.4264403,0.18800974
